area,statistic,age_category,quantity,State,gender
Berowra,Eligible participants,18-19 years,1823.0,New South Wales,female
Berowra,Participation rate (%),18-19 years,85.7,New South Wales,female
Berowra,Total participants,20-24 years,3799.0,New South Wales,female
Berowra,Eligible participants,20-24 years,4450.0,New South Wales,female
Berowra,Participation rate (%),20-24 years,85.4,New South Wales,female
Berowra,Total participants,25-29 years,2616.0,New South Wales,female
Berowra,Eligible participants,25-29 years,3182.0,New South Wales,female
Berowra,Participation rate (%),25-29 years,82.2,New South Wales,female
Berowra,Total participants,30-34 years,2401.0,New South Wales,female
Berowra,Eligible participants,30-34 years,2977.0,New South Wales,female
Berowra,Participation rate (%),30-34 years,80.7,New South Wales,female
Berowra,Total participants,35-39 years,3084.0,New South Wales,female
Berowra,Eligible participants,35-39 years,3809.0,New South Wales,female
Berowra,Participation rate (%),35-39 years,81.0,New South Wales,female
Berowra,Total participants,40-44 years,3889.0,New South Wales,female
Berowra,Eligible participants,40-44 years,4738.0,New South Wales,female
Berowra,Participation rate (%),40-44 years,82.1,New South Wales,female
Berowra,Total participants,45-49 years,4562.0,New South Wales,female
Berowra,Eligible participants,45-49 years,5430.0,New South Wales,female
Berowra,Participation rate (%),45-49 years,84.0,New South Wales,female
Berowra,Total participants,50-54 years,4479.0,New South Wales,female
Berowra,Eligible participants,50-54 years,5183.0,New South Wales,female
Berowra,Participation rate (%),50-54 years,86.4,New South Wales,female
Berowra,Total participants,55-59 years,4552.0,New South Wales,female
Berowra,Eligible participants,55-59 years,5122.0,New South Wales,female
Berowra,Participation rate (%),55-59 years,88.9,New South Wales,female
Berowra,Total participants,60-64 years,3863.0,New South Wales,female
Berowra,Eligible participants,60-64 years,4300.0,New South Wales,female
Berowra,Participation rate (%),60-64 years,89.8,New South Wales,female
Berowra,Total participants,65-69 years,3401.0,New South Wales,female
Berowra,Eligible participants,65-69 years,3709.0,New South Wales,female
Berowra,Participation rate (%),65-69 years,91.7,New South Wales,female
Berowra,Total participants,70-74 years,2961.0,New South Wales,female
Berowra,Eligible participants,70-74 years,3182.0,New South Wales,female
Berowra,Participation rate (%),70-74 years,93.1,New South Wales,female
Berowra,Total participants,75-79 years,2050.0,New South Wales,female
Berowra,Eligible participants,75-79 years,2221.0,New South Wales,female
Berowra,Participation rate (%),75-79 years,92.3,New South Wales,female
Berowra,Total participants,80-84 years,1330.0,New South Wales,female
Berowra,Eligible participants,80-84 years,1479.0,New South Wales,female
Berowra,Participation rate (%),80-84 years,89.9,New South Wales,female
Berowra,Total participants,85 years and over,1609.0,New South Wales,female
Berowra,Eligible participants,85 years and over,1943.0,New South Wales,female
Berowra,Participation rate (%),85 years and over,82.8,New South Wales,female
Berowra,Total participants,Total Females,46158.0,New South Wales,female
Berowra,Eligible participants,Total Females,53548.0,New South Wales,female
Berowra,Participation rate (%),Total Females,86.2,New South Wales,female
Blaxland,Total participants,18-19 years,1216.0,New South Wales,female
Blaxland,Eligible participants,18-19 years,1595.0,New South Wales,female
Blaxland,Participation rate (%),18-19 years,76.2,New South Wales,female
Blaxland,Total participants,20-24 years,3631.0,New South Wales,female
Blaxland,Eligible participants,20-24 years,4854.0,New South Wales,female
Blaxland,Participation rate (%),20-24 years,74.8,New South Wales,female
Blaxland,Total participants,25-29 years,3412.0,New South Wales,female
Blaxland,Eligible participants,25-29 years,4813.0,New South Wales,female
Blaxland,Participation rate (%),25-29 years,70.9,New South Wales,female
Blaxland,Total participants,30-34 years,3401.0,New South Wales,female
Blaxland,Eligible participants,30-34 years,4843.0,New South Wales,female
Blaxland,Participation rate (%),30-34 years,70.2,New South Wales,female
Blaxland,Total participants,35-39 years,3184.0,New South Wales,female
Blaxland,Eligible participants,35-39 years,4501.0,New South Wales,female
Blaxland,Participation rate (%),35-39 years,70.7,New South Wales,female
Blaxland,Total participants,40-44 years,3197.0,New South Wales,female
Blaxland,Eligible participants,40-44 years,4341.0,New South Wales,female
Blaxland,Participation rate (%),40-44 years,73.6,New South Wales,female
Blaxland,Total participants,45-49 years,3395.0,New South Wales,female
Blaxland,Eligible participants,45-49 years,4502.0,New South Wales,female
Blaxland,Participation rate (%),45-49 years,75.4,New South Wales,female
Blaxland,Total participants,50-54 years,3314.0,New South Wales,female
Blaxland,Eligible participants,50-54 years,4279.0,New South Wales,female
Blaxland,Participation rate (%),50-54 years,77.4,New South Wales,female
Blaxland,Total participants,55-59 years,3462.0,New South Wales,female
Blaxland,Eligible participants,55-59 years,4340.0,New South Wales,female
Blaxland,Participation rate (%),55-59 years,79.8,New South Wales,female
Blaxland,Total participants,60-64 years,3079.0,New South Wales,female
Blaxland,Eligible participants,60-64 years,3782.0,New South Wales,female
Blaxland,Participation rate (%),60-64 years,81.4,New South Wales,female
Blaxland,Total participants,65-69 years,2593.0,New South Wales,female
Blaxland,Eligible participants,65-69 years,3082.0,New South Wales,female
Blaxland,Participation rate (%),65-69 years,84.1,New South Wales,female
Blaxland,Total participants,70-74 years,2018.0,New South Wales,female
Blaxland,Eligible participants,70-74 years,2375.0,New South Wales,female
Blaxland,Participation rate (%),70-74 years,85.0,New South Wales,female
Blaxland,Total participants,75-79 years,1527.0,New South Wales,female
Blaxland,Eligible participants,75-79 years,1823.0,New South Wales,female
Blaxland,Participation rate (%),75-79 years,83.8,New South Wales,female
Blaxland,Total participants,80-84 years,1189.0,New South Wales,female
Blaxland,Eligible participants,80-84 years,1451.0,New South Wales,female
Blaxland,Participation rate (%),80-84 years,81.9,New South Wales,female
Blaxland,Total participants,85 years and over,1382.0,New South Wales,female
Blaxland,Eligible participants,85 years and over,1823.0,New South Wales,female
Blaxland,Participation rate (%),85 years and over,75.8,New South Wales,female
Blaxland,Total participants,Total Females,40000.0,New South Wales,female
Blaxland,Eligible participants,Total Females,52404.0,New South Wales,female
Blaxland,Participation rate (%),Total Females,76.3,New South Wales,female
Bradfield,Total participants,18-19 years,1615.0,New South Wales,female
Bradfield,Eligible participants,18-19 years,1833.0,New South Wales,female
Bradfield,Participation rate (%),18-19 years,88.1,New South Wales,female
Bradfield,Total participants,20-24 years,3629.0,New South Wales,female
Bradfield,Eligible participants,20-24 years,4276.0,New South Wales,female
Bradfield,Participation rate (%),20-24 years,84.9,New South Wales,female
Bradfield,Total participants,25-29 years,2557.0,New South Wales,female
Bradfield,Eligible participants,25-29 years,3109.0,New South Wales,female
Bradfield,Participation rate (%),25-29 years,82.2,New South Wales,female
Bradfield,Total participants,30-34 years,2481.0,New South Wales,female
Bradfield,Eligible participants,30-34 years,3265.0,New South Wales,female
Bradfield,Participation rate (%),30-34 years,76.0,New South Wales,female
Bradfield,Total participants,35-39 years,3303.0,New South Wales,female
Bradfield,Eligible participants,35-39 years,4261.0,New South Wales,female
Bradfield,Participation rate (%),35-39 years,77.5,New South Wales,female
Bradfield,Total participants,40-44 years,3899.0,New South Wales,female
Bradfield,Eligible participants,40-44 years,4817.0,New South Wales,female
Bradfield,Participation rate (%),40-44 years,80.9,New South Wales,female
Bradfield,Total participants,45-49 years,4777.0,New South Wales,female
Bradfield,Eligible participants,45-49 years,5636.0,New South Wales,female
Bradfield,Participation rate (%),45-49 years,84.8,New South Wales,female
Bradfield,Total participants,50-54 years,4458.0,New South Wales,female
Bradfield,Eligible participants,50-54 years,5205.0,New South Wales,female
Bradfield,Participation rate (%),50-54 years,85.6,New South Wales,female
Bradfield,Total participants,55-59 years,4061.0,New South Wales,female
Bradfield,Eligible participants,55-59 years,4646.0,New South Wales,female
Bradfield,Participation rate (%),55-59 years,87.4,New South Wales,female
Bradfield,Total participants,60-64 years,3361.0,New South Wales,female
Bradfield,Eligible participants,60-64 years,3824.0,New South Wales,female
Bradfield,Participation rate (%),60-64 years,87.9,New South Wales,female
Bradfield,Total participants,65-69 years,3265.0,New South Wales,female
Bradfield,Eligible participants,65-69 years,3639.0,New South Wales,female
Bradfield,Participation rate (%),65-69 years,89.7,New South Wales,female
Bradfield,Total participants,70-74 years,2981.0,New South Wales,female
Bradfield,Eligible participants,70-74 years,3253.0,New South Wales,female
Bradfield,Participation rate (%),70-74 years,91.6,New South Wales,female
Bradfield,Total participants,75-79 years,2285.0,New South Wales,female
Bradfield,Eligible participants,75-79 years,2487.0,New South Wales,female
Bradfield,Participation rate (%),75-79 years,91.9,New South Wales,female
Bradfield,Total participants,80-84 years,1777.0,New South Wales,female
Bradfield,Eligible participants,80-84 years,1990.0,New South Wales,female
Bradfield,Participation rate (%),80-84 years,89.3,New South Wales,female
Bradfield,Total participants,85 years and over,2225.0,New South Wales,female
Bradfield,Eligible participants,85 years and over,2734.0,New South Wales,female
Bradfield,Participation rate (%),85 years and over,81.4,New South Wales,female
Bradfield,Total participants,Total Females,46674.0,New South Wales,female
Bradfield,Eligible participants,Total Females,54975.0,New South Wales,female
Bradfield,Participation rate (%),Total Females,84.9,New South Wales,female
Calare,Total participants,18-19 years,1255.0,New South Wales,female
Calare,Eligible participants,18-19 years,1627.0,New South Wales,female
Calare,Participation rate (%),18-19 years,77.1,New South Wales,female
Calare,Total participants,20-24 years,3017.0,New South Wales,female
Calare,Eligible participants,20-24 years,4385.0,New South Wales,female
Calare,Participation rate (%),20-24 years,68.8,New South Wales,female
Calare,Total participants,25-29 years,3108.0,New South Wales,female
Calare,Eligible participants,25-29 years,4437.0,New South Wales,female
Calare,Participation rate (%),25-29 years,70.0,New South Wales,female
Calare,Total participants,30-34 years,3218.0,New South Wales,female
Calare,Eligible participants,30-34 years,4447.0,New South Wales,female
Calare,Participation rate (%),30-34 years,72.4,New South Wales,female
Calare,Total participants,35-39 years,3080.0,New South Wales,female
Calare,Eligible participants,35-39 years,4237.0,New South Wales,female
Calare,Participation rate (%),35-39 years,72.7,New South Wales,female
Calare,Total participants,40-44 years,3485.0,New South Wales,female
Calare,Eligible participants,40-44 years,4514.0,New South Wales,female
Calare,Participation rate (%),40-44 years,77.2,New South Wales,female
Calare,Total participants,45-49 years,3959.0,New South Wales,female
Calare,Eligible participants,45-49 years,5005.0,New South Wales,female
Calare,Participation rate (%),45-49 years,79.1,New South Wales,female
Calare,Total participants,50-54 years,3991.0,New South Wales,female
Calare,Eligible participants,50-54 years,4875.0,New South Wales,female
Calare,Participation rate (%),50-54 years,81.9,New South Wales,female
Calare,Total participants,55-59 years,4430.0,New South Wales,female
Calare,Eligible participants,55-59 years,5167.0,New South Wales,female
Calare,Participation rate (%),55-59 years,85.7,New South Wales,female
Calare,Total participants,60-64 years,4133.0,New South Wales,female
Calare,Eligible participants,60-64 years,4748.0,New South Wales,female
Calare,Participation rate (%),60-64 years,87.0,New South Wales,female
Calare,Total participants,65-69 years,4059.0,New South Wales,female
Calare,Eligible participants,65-69 years,4513.0,New South Wales,female
Calare,Participation rate (%),65-69 years,89.9,New South Wales,female
Calare,Total participants,70-74 years,3487.0,New South Wales,female
Calare,Eligible participants,70-74 years,3848.0,New South Wales,female
Calare,Participation rate (%),70-74 years,90.6,New South Wales,female
Calare,Total participants,75-79 years,2422.0,New South Wales,female
Calare,Eligible participants,75-79 years,2729.0,New South Wales,female
Calare,Participation rate (%),75-79 years,88.8,New South Wales,female
Calare,Total participants,80-84 years,1755.0,New South Wales,female
Calare,Eligible participants,80-84 years,2023.0,New South Wales,female
Calare,Participation rate (%),80-84 years,86.8,New South Wales,female
Calare,Total participants,85 years and over,1615.0,New South Wales,female
Calare,Eligible participants,85 years and over,2048.0,New South Wales,female
Calare,Participation rate (%),85 years and over,78.9,New South Wales,female
Calare,Total participants,Total Females,47014.0,New South Wales,female
Calare,Eligible participants,Total Females,58603.0,New South Wales,female
Calare,Participation rate (%),Total Females,80.2,New South Wales,female
Chifley,Total participants,18-19 years,1294.0,New South Wales,female
Chifley,Eligible participants,18-19 years,1767.0,New South Wales,female
Chifley,Participation rate (%),18-19 years,73.2,New South Wales,female
Chifley,Total participants,20-24 years,3834.0,New South Wales,female
Chifley,Eligible participants,20-24 years,5506.0,New South Wales,female
Chifley,Participation rate (%),20-24 years,69.6,New South Wales,female
Chifley,Total participants,25-29 years,3429.0,New South Wales,female
Chifley,Eligible participants,25-29 years,5163.0,New South Wales,female
Chifley,Participation rate (%),25-29 years,66.4,New South Wales,female
Chifley,Total participants,30-34 years,3662.0,New South Wales,female
Chifley,Eligible participants,30-34 years,5437.0,New South Wales,female
Chifley,Participation rate (%),30-34 years,67.4,New South Wales,female
Chifley,Total participants,35-39 years,3562.0,New South Wales,female
Chifley,Eligible participants,35-39 years,5204.0,New South Wales,female
Chifley,Participation rate (%),35-39 years,68.4,New South Wales,female
Chifley,Total participants,40-44 years,3479.0,New South Wales,female
Chifley,Eligible participants,40-44 years,4802.0,New South Wales,female
Chifley,Participation rate (%),40-44 years,72.4,New South Wales,female
Chifley,Total participants,45-49 years,3676.0,New South Wales,female
Chifley,Eligible participants,45-49 years,4836.0,New South Wales,female
Chifley,Participation rate (%),45-49 years,76.0,New South Wales,female
Chifley,Total participants,50-54 years,3572.0,New South Wales,female
Chifley,Eligible participants,50-54 years,4513.0,New South Wales,female
Chifley,Participation rate (%),50-54 years,79.1,New South Wales,female
Chifley,Total participants,55-59 years,3552.0,New South Wales,female
Chifley,Eligible participants,55-59 years,4301.0,New South Wales,female
Chifley,Participation rate (%),55-59 years,82.6,New South Wales,female
Chifley,Total participants,60-64 years,3214.0,New South Wales,female
Chifley,Eligible participants,60-64 years,3824.0,New South Wales,female
Chifley,Participation rate (%),60-64 years,84.0,New South Wales,female
Chifley,Total participants,65-69 years,2833.0,New South Wales,female
Chifley,Eligible participants,65-69 years,3283.0,New South Wales,female
Chifley,Participation rate (%),65-69 years,86.3,New South Wales,female
Chifley,Total participants,70-74 years,2099.0,New South Wales,female
Chifley,Eligible participants,70-74 years,2417.0,New South Wales,female
Chifley,Participation rate (%),70-74 years,86.8,New South Wales,female
Chifley,Total participants,75-79 years,1374.0,New South Wales,female
Chifley,Eligible participants,75-79 years,1608.0,New South Wales,female
Chifley,Participation rate (%),75-79 years,85.4,New South Wales,female
Chifley,Total participants,80-84 years,901.0,New South Wales,female
Chifley,Eligible participants,80-84 years,1085.0,New South Wales,female
Chifley,Participation rate (%),80-84 years,83.0,New South Wales,female
Chifley,Total participants,85 years and over,790.0,New South Wales,female
Chifley,Eligible participants,85 years and over,1060.0,New South Wales,female
Chifley,Participation rate (%),85 years and over,74.5,New South Wales,female
Chifley,Total participants,Total Females,41271.0,New South Wales,female
Chifley,Eligible participants,Total Females,54806.0,New South Wales,female
Chifley,Participation rate (%),Total Females,75.3,New South Wales,female
Cook,Total participants,18-19 years,1171.0,New South Wales,female
Cook,Eligible participants,18-19 years,1409.0,New South Wales,female
Cook,Participation rate (%),18-19 years,83.1,New South Wales,female
Cook,Total participants,20-24 years,3099.0,New South Wales,female
Cook,Eligible participants,20-24 years,3790.0,New South Wales,female
Cook,Participation rate (%),20-24 years,81.8,New South Wales,female
Cook,Total participants,25-29 years,3183.0,New South Wales,female
Cook,Eligible participants,25-29 years,3969.0,New South Wales,female
Cook,Participation rate (%),25-29 years,80.2,New South Wales,female
Cook,Total participants,30-34 years,3137.0,New South Wales,female
Cook,Eligible participants,30-34 years,3938.0,New South Wales,female
Cook,Participation rate (%),30-34 years,79.7,New South Wales,female
Cook,Total participants,35-39 years,3209.0,New South Wales,female
Cook,Eligible participants,35-39 years,4039.0,New South Wales,female
Cook,Participation rate (%),35-39 years,79.5,New South Wales,female
Cook,Total participants,40-44 years,3564.0,New South Wales,female
Cook,Eligible participants,40-44 years,4501.0,New South Wales,female
Cook,Participation rate (%),40-44 years,79.2,New South Wales,female
Cook,Total participants,45-49 years,4021.0,New South Wales,female
Cook,Eligible participants,45-49 years,4935.0,New South Wales,female
Cook,Participation rate (%),45-49 years,81.5,New South Wales,female
Cook,Total participants,50-54 years,3836.0,New South Wales,female
Cook,Eligible participants,50-54 years,4536.0,New South Wales,female
Cook,Participation rate (%),50-54 years,84.6,New South Wales,female
Cook,Total participants,55-59 years,3842.0,New South Wales,female
Cook,Eligible participants,55-59 years,4475.0,New South Wales,female
Cook,Participation rate (%),55-59 years,85.9,New South Wales,female
Cook,Total participants,60-64 years,3650.0,New South Wales,female
Cook,Eligible participants,60-64 years,4107.0,New South Wales,female
Cook,Participation rate (%),60-64 years,88.9,New South Wales,female
Cook,Total participants,65-69 years,3387.0,New South Wales,female
Cook,Eligible participants,65-69 years,3755.0,New South Wales,female
Cook,Participation rate (%),65-69 years,90.2,New South Wales,female
Cook,Total participants,70-74 years,3033.0,New South Wales,female
Cook,Eligible participants,70-74 years,3325.0,New South Wales,female
Cook,Participation rate (%),70-74 years,91.2,New South Wales,female
Cook,Total participants,75-79 years,2307.0,New South Wales,female
Cook,Eligible participants,75-79 years,2527.0,New South Wales,female
Cook,Participation rate (%),75-79 years,91.3,New South Wales,female
Cook,Total participants,80-84 years,1908.0,New South Wales,female
Cook,Eligible participants,80-84 years,2141.0,New South Wales,female
Cook,Participation rate (%),80-84 years,89.1,New South Wales,female
Cook,Total participants,85 years and over,2319.0,New South Wales,female
Cook,Eligible participants,85 years and over,2809.0,New South Wales,female
Cook,Participation rate (%),85 years and over,82.6,New South Wales,female
Cook,Total participants,Total Females,45666.0,New South Wales,female
Cook,Eligible participants,Total Females,54256.0,New South Wales,female
Cook,Participation rate (%),Total Females,84.2,New South Wales,female
Cowper,Total participants,18-19 years,1112.0,New South Wales,female
Cowper,Eligible participants,18-19 years,1516.0,New South Wales,female
Cowper,Participation rate (%),18-19 years,73.4,New South Wales,female
Cowper,Total participants,20-24 years,2527.0,New South Wales,female
Cowper,Eligible participants,20-24 years,3716.0,New South Wales,female
Cowper,Participation rate (%),20-24 years,68.0,New South Wales,female
Cowper,Total participants,25-29 years,2554.0,New South Wales,female
Cowper,Eligible participants,25-29 years,3650.0,New South Wales,female
Cowper,Participation rate (%),25-29 years,70.0,New South Wales,female
Cowper,Total participants,30-34 years,2557.0,New South Wales,female
Cowper,Eligible participants,30-34 years,3669.0,New South Wales,female
Cowper,Participation rate (%),30-34 years,69.7,New South Wales,female
Cowper,Total participants,35-39 years,2747.0,New South Wales,female
Cowper,Eligible participants,35-39 years,3771.0,New South Wales,female
Cowper,Participation rate (%),35-39 years,72.8,New South Wales,female
Cowper,Total participants,40-44 years,3236.0,New South Wales,female
Cowper,Eligible participants,40-44 years,4266.0,New South Wales,female
Cowper,Participation rate (%),40-44 years,75.9,New South Wales,female
Cowper,Total participants,45-49 years,3930.0,New South Wales,female
Cowper,Eligible participants,45-49 years,4929.0,New South Wales,female
Cowper,Participation rate (%),45-49 years,79.7,New South Wales,female
Cowper,Total participants,50-54 years,4155.0,New South Wales,female
Cowper,Eligible participants,50-54 years,5110.0,New South Wales,female
Cowper,Participation rate (%),50-54 years,81.3,New South Wales,female
Cowper,Total participants,55-59 years,5209.0,New South Wales,female
Cowper,Eligible participants,55-59 years,6133.0,New South Wales,female
Cowper,Participation rate (%),55-59 years,84.9,New South Wales,female
Cowper,Total participants,60-64 years,5173.0,New South Wales,female
Cowper,Eligible participants,60-64 years,5890.0,New South Wales,female
Cowper,Participation rate (%),60-64 years,87.8,New South Wales,female
