area,statistic,age_category,quantity,State
Blaxland,Participation rate (%),30-34 years,68.9,New South Wales
Blaxland,Total participants,35-39 years,6345.0,New South Wales
Blaxland,Eligible participants,35-39 years,9149.0,New South Wales
Blaxland,Participation rate (%),35-39 years,69.4,New South Wales
Blaxland,Total participants,40-44 years,6305.0,New South Wales
Blaxland,Eligible participants,40-44 years,8765.0,New South Wales
Blaxland,Participation rate (%),40-44 years,71.9,New South Wales
Blaxland,Total participants,45-49 years,6591.0,New South Wales
Blaxland,Eligible participants,45-49 years,8900.0,New South Wales
Blaxland,Participation rate (%),45-49 years,74.1,New South Wales
Blaxland,Total participants,50-54 years,6642.0,New South Wales
Blaxland,Eligible participants,50-54 years,8722.0,New South Wales
Blaxland,Participation rate (%),50-54 years,76.2,New South Wales
Blaxland,Total participants,55-59 years,6850.0,New South Wales
Blaxland,Eligible participants,55-59 years,8791.0,New South Wales
Blaxland,Participation rate (%),55-59 years,77.9,New South Wales
Blaxland,Total participants,60-64 years,6044.0,New South Wales
Blaxland,Eligible participants,60-64 years,7554.0,New South Wales
Blaxland,Participation rate (%),60-64 years,80.0,New South Wales
Blaxland,Total participants,65-69 years,5215.0,New South Wales
Blaxland,Eligible participants,65-69 years,6201.0,New South Wales
Blaxland,Participation rate (%),65-69 years,84.1,New South Wales
Blaxland,Total participants,70-74 years,4200.0,New South Wales
Blaxland,Eligible participants,70-74 years,4960.0,New South Wales
Blaxland,Participation rate (%),70-74 years,84.7,New South Wales
Blaxland,Total participants,75-79 years,2955.0,New South Wales
Blaxland,Eligible participants,75-79 years,3515.0,New South Wales
Blaxland,Participation rate (%),75-79 years,84.1,New South Wales
Blaxland,Total participants,80-84 years,2139.0,New South Wales
Blaxland,Eligible participants,80-84 years,2583.0,New South Wales
Blaxland,Participation rate (%),80-84 years,82.8,New South Wales
Blaxland,Total participants,85 years and over,2273.0,New South Wales
Blaxland,Eligible participants,85 years and over,2965.0,New South Wales
Blaxland,Participation rate (%),85 years and over,76.7,New South Wales
Blaxland,Total participants,Age or gender ndf,231.0,New South Wales
Blaxland,Eligible participants,Age or gender ndf,285.0,New South Wales
Blaxland,Participation rate (%),Age or gender ndf,81.1,New South Wales
Blaxland,Total participants,Total Persons,78552.0,New South Wales
Blaxland,Eligible participants,Total Persons,104435.0,New South Wales
Blaxland,Participation rate (%),Total Persons,75.2,New South Wales
Bradfield,Total participants,18-19 years,3118.0,New South Wales
Bradfield,Eligible participants,18-19 years,3659.0,New South Wales
Bradfield,Participation rate (%),18-19 years,85.2,New South Wales
Bradfield,Total participants,20-24 years,7013.0,New South Wales
Bradfield,Eligible participants,20-24 years,8602.0,New South Wales
Bradfield,Participation rate (%),20-24 years,81.5,New South Wales
Bradfield,Total participants,25-29 years,5113.0,New South Wales
Bradfield,Eligible participants,25-29 years,6504.0,New South Wales
Bradfield,Participation rate (%),25-29 years,78.6,New South Wales
Bradfield,Total participants,30-34 years,4678.0,New South Wales
Bradfield,Eligible participants,30-34 years,6386.0,New South Wales
Bradfield,Participation rate (%),30-34 years,73.3,New South Wales
Bradfield,Total participants,35-39 years,6200.0,New South Wales
Bradfield,Eligible participants,35-39 years,8159.0,New South Wales
Bradfield,Participation rate (%),35-39 years,76.0,New South Wales
Bradfield,Total participants,40-44 years,7331.0,New South Wales
Bradfield,Eligible participants,40-44 years,9215.0,New South Wales
Bradfield,Participation rate (%),40-44 years,79.6,New South Wales
Bradfield,Total participants,45-49 years,8811.0,New South Wales
Bradfield,Eligible participants,45-49 years,10623.0,New South Wales
Bradfield,Participation rate (%),45-49 years,82.9,New South Wales
Bradfield,Total participants,50-54 years,8483.0,New South Wales
Bradfield,Eligible participants,50-54 years,9995.0,New South Wales
Bradfield,Participation rate (%),50-54 years,84.9,New South Wales
Bradfield,Total participants,55-59 years,7975.0,New South Wales
Bradfield,Eligible participants,55-59 years,9186.0,New South Wales
Bradfield,Participation rate (%),55-59 years,86.8,New South Wales
Bradfield,Total participants,60-64 years,6452.0,New South Wales
Bradfield,Eligible participants,60-64 years,7372.0,New South Wales
Bradfield,Participation rate (%),60-64 years,87.5,New South Wales
Bradfield,Total participants,65-69 years,6112.0,New South Wales
Bradfield,Eligible participants,65-69 years,6832.0,New South Wales
Bradfield,Participation rate (%),65-69 years,89.5,New South Wales
Bradfield,Total participants,70-74 years,5617.0,New South Wales
Bradfield,Eligible participants,70-74 years,6145.0,New South Wales
Bradfield,Participation rate (%),70-74 years,91.4,New South Wales
Bradfield,Total participants,75-79 years,4261.0,New South Wales
Bradfield,Eligible participants,75-79 years,4617.0,New South Wales
Bradfield,Participation rate (%),75-79 years,92.3,New South Wales
Bradfield,Total participants,80-84 years,3259.0,New South Wales
Bradfield,Eligible participants,80-84 years,3600.0,New South Wales
Bradfield,Participation rate (%),80-84 years,90.5,New South Wales
Bradfield,Total participants,85 years and over,3770.0,New South Wales
Bradfield,Eligible participants,85 years and over,4474.0,New South Wales
Bradfield,Participation rate (%),85 years and over,84.3,New South Wales
Bradfield,Total participants,Age or gender ndf,617.0,New South Wales
Bradfield,Eligible participants,Age or gender ndf,702.0,New South Wales
Bradfield,Participation rate (%),Age or gender ndf,87.9,New South Wales
Bradfield,Total participants,Total Persons,88810.0,New South Wales
Bradfield,Eligible participants,Total Persons,106071.0,New South Wales
Bradfield,Participation rate (%),Total Persons,83.7,New South Wales
Calare,Total participants,18-19 years,2418.0,New South Wales
Calare,Eligible participants,18-19 years,3270.0,New South Wales
Calare,Participation rate (%),18-19 years,73.9,New South Wales
Calare,Total participants,20-24 years,5794.0,New South Wales
Calare,Eligible participants,20-24 years,8783.0,New South Wales
Calare,Participation rate (%),20-24 years,66.0,New South Wales
Calare,Total participants,25-29 years,5872.0,New South Wales
Calare,Eligible participants,25-29 years,8836.0,New South Wales
Calare,Participation rate (%),25-29 years,66.5,New South Wales
Calare,Total participants,30-34 years,6053.0,New South Wales
Calare,Eligible participants,30-34 years,8775.0,New South Wales
Calare,Participation rate (%),30-34 years,69.0,New South Wales
Calare,Total participants,35-39 years,5862.0,New South Wales
Calare,Eligible participants,35-39 years,8363.0,New South Wales
Calare,Participation rate (%),35-39 years,70.1,New South Wales
Calare,Total participants,40-44 years,6473.0,New South Wales
Calare,Eligible participants,40-44 years,8841.0,New South Wales
Calare,Participation rate (%),40-44 years,73.2,New South Wales
Calare,Total participants,45-49 years,7574.0,New South Wales
Calare,Eligible participants,45-49 years,9915.0,New South Wales
Calare,Participation rate (%),45-49 years,76.4,New South Wales
Calare,Total participants,50-54 years,7646.0,New South Wales
Calare,Eligible participants,50-54 years,9628.0,New South Wales
Calare,Participation rate (%),50-54 years,79.4,New South Wales
Calare,Total participants,55-59 years,8636.0,New South Wales
Calare,Eligible participants,55-59 years,10354.0,New South Wales
Calare,Participation rate (%),55-59 years,83.4,New South Wales
Calare,Total participants,60-64 years,8000.0,New South Wales
Calare,Eligible participants,60-64 years,9344.0,New South Wales
Calare,Participation rate (%),60-64 years,85.6,New South Wales
Calare,Total participants,65-69 years,8040.0,New South Wales
Calare,Eligible participants,65-69 years,9042.0,New South Wales
Calare,Participation rate (%),65-69 years,88.9,New South Wales
Calare,Total participants,70-74 years,6867.0,New South Wales
Calare,Eligible participants,70-74 years,7640.0,New South Wales
Calare,Participation rate (%),70-74 years,89.9,New South Wales
Calare,Total participants,75-79 years,4636.0,New South Wales
Calare,Eligible participants,75-79 years,5229.0,New South Wales
Calare,Participation rate (%),75-79 years,88.7,New South Wales
Calare,Total participants,80-84 years,3153.0,New South Wales
Calare,Eligible participants,80-84 years,3602.0,New South Wales
Calare,Participation rate (%),80-84 years,87.5,New South Wales
Calare,Total participants,85 years and over,2637.0,New South Wales
Calare,Eligible participants,85 years and over,3281.0,New South Wales
Calare,Participation rate (%),85 years and over,80.4,New South Wales
Calare,Total participants,Age or gender ndf,494.0,New South Wales
Calare,Eligible participants,Age or gender ndf,594.0,New South Wales
Calare,Participation rate (%),Age or gender ndf,83.2,New South Wales
Calare,Total participants,Total Persons,90155.0,New South Wales
Calare,Eligible participants,Total Persons,115497.0,New South Wales
Calare,Participation rate (%),Total Persons,78.1,New South Wales
Chifley,Total participants,18-19 years,2581.0,New South Wales
Chifley,Eligible participants,18-19 years,3595.0,New South Wales
Chifley,Participation rate (%),18-19 years,71.8,New South Wales
Chifley,Total participants,20-24 years,7387.0,New South Wales
Chifley,Eligible participants,20-24 years,10965.0,New South Wales
Chifley,Participation rate (%),20-24 years,67.4,New South Wales
Chifley,Total participants,25-29 years,6712.0,New South Wales
Chifley,Eligible participants,25-29 years,10274.0,New South Wales
Chifley,Participation rate (%),25-29 years,65.3,New South Wales
Chifley,Total participants,30-34 years,6918.0,New South Wales
Chifley,Eligible participants,30-34 years,10642.0,New South Wales
Chifley,Participation rate (%),30-34 years,65.0,New South Wales
Chifley,Total participants,35-39 years,6964.0,New South Wales
Chifley,Eligible participants,35-39 years,10506.0,New South Wales
Chifley,Participation rate (%),35-39 years,66.3,New South Wales
Chifley,Total participants,40-44 years,6780.0,New South Wales
Chifley,Eligible participants,40-44 years,9559.0,New South Wales
Chifley,Participation rate (%),40-44 years,70.9,New South Wales
Chifley,Total participants,45-49 years,7114.0,New South Wales
Chifley,Eligible participants,45-49 years,9582.0,New South Wales
Chifley,Participation rate (%),45-49 years,74.2,New South Wales
Chifley,Total participants,50-54 years,6950.0,New South Wales
Chifley,Eligible participants,50-54 years,8913.0,New South Wales
Chifley,Participation rate (%),50-54 years,78.0,New South Wales
Chifley,Total participants,55-59 years,6940.0,New South Wales
Chifley,Eligible participants,55-59 years,8581.0,New South Wales
Chifley,Participation rate (%),55-59 years,80.9,New South Wales
Chifley,Total participants,60-64 years,6168.0,New South Wales
Chifley,Eligible participants,60-64 years,7341.0,New South Wales
Chifley,Participation rate (%),60-64 years,84.0,New South Wales
Chifley,Total participants,65-69 years,5488.0,New South Wales
Chifley,Eligible participants,65-69 years,6373.0,New South Wales
Chifley,Participation rate (%),65-69 years,86.1,New South Wales
Chifley,Total participants,70-74 years,4062.0,New South Wales
Chifley,Eligible participants,70-74 years,4674.0,New South Wales
Chifley,Participation rate (%),70-74 years,86.9,New South Wales
Chifley,Total participants,75-79 years,2526.0,New South Wales
Chifley,Eligible participants,75-79 years,2939.0,New South Wales
Chifley,Participation rate (%),75-79 years,85.9,New South Wales
Chifley,Total participants,80-84 years,1593.0,New South Wales
Chifley,Eligible participants,80-84 years,1909.0,New South Wales
Chifley,Participation rate (%),80-84 years,83.4,New South Wales
Chifley,Total participants,85 years and over,1258.0,New South Wales
Chifley,Eligible participants,85 years and over,1669.0,New South Wales
Chifley,Participation rate (%),85 years and over,75.4,New South Wales
Chifley,Total participants,Age or gender ndf,395.0,New South Wales
Chifley,Eligible participants,Age or gender ndf,494.0,New South Wales
Chifley,Participation rate (%),Age or gender ndf,80.0,New South Wales
Chifley,Total participants,Total Persons,79836.0,New South Wales
Chifley,Eligible participants,Total Persons,108016.0,New South Wales
Chifley,Participation rate (%),Total Persons,73.9,New South Wales
Cook,Total participants,18-19 years,2241.0,New South Wales
Cook,Eligible participants,18-19 years,2792.0,New South Wales
Cook,Participation rate (%),18-19 years,80.3,New South Wales
Cook,Total participants,20-24 years,5970.0,New South Wales
Cook,Eligible participants,20-24 years,7645.0,New South Wales
Cook,Participation rate (%),20-24 years,78.1,New South Wales
Cook,Total participants,25-29 years,5893.0,New South Wales
Cook,Eligible participants,25-29 years,7787.0,New South Wales
Cook,Participation rate (%),25-29 years,75.7,New South Wales
Cook,Total participants,30-34 years,5908.0,New South Wales
Cook,Eligible participants,30-34 years,7753.0,New South Wales
Cook,Participation rate (%),30-34 years,76.2,New South Wales
Cook,Total participants,35-39 years,6066.0,New South Wales
Cook,Eligible participants,35-39 years,7947.0,New South Wales
Cook,Participation rate (%),35-39 years,76.3,New South Wales
Cook,Total participants,40-44 years,6813.0,New South Wales
Cook,Eligible participants,40-44 years,8818.0,New South Wales
Cook,Participation rate (%),40-44 years,77.3,New South Wales
Cook,Total participants,45-49 years,7692.0,New South Wales
Cook,Eligible participants,45-49 years,9681.0,New South Wales
Cook,Participation rate (%),45-49 years,79.5,New South Wales
Cook,Total participants,50-54 years,7331.0,New South Wales
Cook,Eligible participants,50-54 years,8913.0,New South Wales
Cook,Participation rate (%),50-54 years,82.3,New South Wales
Cook,Total participants,55-59 years,7421.0,New South Wales
Cook,Eligible participants,55-59 years,8796.0,New South Wales
Cook,Participation rate (%),55-59 years,84.4,New South Wales
Cook,Total participants,60-64 years,6930.0,New South Wales
Cook,Eligible participants,60-64 years,7896.0,New South Wales
Cook,Participation rate (%),60-64 years,87.8,New South Wales
Cook,Total participants,65-69 years,6408.0,New South Wales
Cook,Eligible participants,65-69 years,7157.0,New South Wales
Cook,Participation rate (%),65-69 years,89.5,New South Wales
Cook,Total participants,70-74 years,5745.0,New South Wales
Cook,Eligible participants,70-74 years,6310.0,New South Wales
Cook,Participation rate (%),70-74 years,91.0,New South Wales
Cook,Total participants,75-79 years,4298.0,New South Wales
Cook,Eligible participants,75-79 years,4680.0,New South Wales
Cook,Participation rate (%),75-79 years,91.8,New South Wales
Cook,Total participants,80-84 years,3404.0,New South Wales
Cook,Eligible participants,80-84 years,3796.0,New South Wales
Cook,Participation rate (%),80-84 years,89.7,New South Wales
Cook,Total participants,85 years and over,3738.0,New South Wales
Cook,Eligible participants,85 years and over,4472.0,New South Wales
Cook,Participation rate (%),85 years and over,83.6,New South Wales
Cook,Total participants,Age or gender ndf,680.0,New South Wales
Cook,Eligible participants,Age or gender ndf,808.0,New South Wales
Cook,Participation rate (%),Age or gender ndf,84.2,New South Wales
Cook,Total participants,Total Persons,86538.0,New South Wales
Cook,Eligible participants,Total Persons,105251.0,New South Wales
Cook,Participation rate (%),Total Persons,82.2,New South Wales
Cowper,Total participants,18-19 years,2124.0,New South Wales
Cowper,Eligible participants,18-19 years,2978.0,New South Wales
Cowper,Participation rate (%),18-19 years,71.3,New South Wales
Cowper,Total participants,20-24 years,4860.0,New South Wales
Cowper,Eligible participants,20-24 years,7546.0,New South Wales
Cowper,Participation rate (%),20-24 years,64.4,New South Wales
Cowper,Total participants,25-29 years,4805.0,New South Wales
Cowper,Eligible participants,25-29 years,7324.0,New South Wales
Cowper,Participation rate (%),25-29 years,65.6,New South Wales
Cowper,Total participants,30-34 years,4841.0,New South Wales
Cowper,Eligible participants,30-34 years,7158.0,New South Wales
Cowper,Participation rate (%),30-34 years,67.6,New South Wales
Cowper,Total participants,35-39 years,5069.0,New South Wales
Cowper,Eligible participants,35-39 years,7260.0,New South Wales
Cowper,Participation rate (%),35-39 years,69.8,New South Wales
Cowper,Total participants,40-44 years,5968.0,New South Wales
Cowper,Eligible participants,40-44 years,8193.0,New South Wales
Cowper,Participation rate (%),40-44 years,72.8,New South Wales
Cowper,Total participants,45-49 years,7151.0,New South Wales
Cowper,Eligible participants,45-49 years,9451.0,New South Wales
Cowper,Participation rate (%),45-49 years,75.7,New South Wales
Cowper,Total participants,50-54 years,7693.0,New South Wales
Cowper,Eligible participants,50-54 years,9729.0,New South Wales
Cowper,Participation rate (%),50-54 years,79.1,New South Wales
Cowper,Total participants,55-59 years,9483.0,New South Wales
Cowper,Eligible participants,55-59 years,11511.0,New South Wales
Cowper,Participation rate (%),55-59 years,82.4,New South Wales
Cowper,Total participants,60-64 years,9865.0,New South Wales
Cowper,Eligible participants,60-64 years,11515.0,New South Wales
Cowper,Participation rate (%),60-64 years,85.7,New South Wales
Cowper,Total participants,65-69 years,10109.0,New South Wales
Cowper,Eligible participants,65-69 years,11322.0,New South Wales
Cowper,Participation rate (%),65-69 years,89.3,New South Wales
